"","site","provenience","group.prov","site.prov","C14.mean","C14.sd","C14.cv","uncal.date.bp","lab.num","attribution","material","calib.curve"
"150","Bricia","conchero","conchero","Bricia conchero",6800,160,0.024,"6800±160","GaK-2908","Asturian","charcoal","intcal13"
"151","Bricia","conchero","conchero","Bricia conchero",8862,1403,0.158,"8862±1403","BRI-1","Asturian","AAR date","intcal13"
"152","Cámara","conchero","conchero","Cámara conchero",7878,2485,0.315,"7878±2485","CAM-1","Azilian/Mesolithic?","AAR date","intcal13"
"153","Carajas","?","?","Carajas ?",7380,150,0.02,"7380±150","CSIC-170",NA,"bone","intcal13"
"154","Carmona","conchero","conchero","Carmona conchero",9885,1094,0.111,"9885±1094","CAR-1","Azilian/Mesolithic?","AAR date","intcal13"
"155","Ceñil","conchero","conchero","Ceñil conchero",8921,1105,0.124,"8921±1105","CÑL-1","Azilian/Mesolithic?","AAR date","intcal13"
"156","Chufín","?","?","Chufín ?",10900,90,0.008,"10900±90",NA,"Solutrean","charred bone","intcal13"
"157","Chufín","?","?","Chufín ?",17420,200,0.011,"17420±200","CSIC-258","Solutrean","charcoal","intcal13"
"158","Ciernes","estrato 20 cm","estrato 20 cm","Ciernes estrato 20 cm",14868,1068,0.072,"14868±1068","CIE-1","U Magdalenian?","AAR date","intcal13"
"159","Coberizas","1b","1b","Coberizas 1b",7100,70,0.01,"7100±70","GaK-2907","Asturian","charcoal","intcal13"
"160","Coberizas","conchero","conchero","Coberizas conchero",7100,170,0.024,"7100±170",NA,"Asturian",NA,"intcal13"
"161","Coberizas","conchero, corte B","conchero","Coberizas conchero",6799,573,0.084,"6799±573","COB-1","Asturian","AAR date","intcal13"
"162","Cobrante","3","3","Cobrante 3",18540,70,0.004,"18540±70","GrA-22438","Solutrean","bone","intcal13"
"163","Cobrante","4","4","Cobrante 4",18260,70,0.004,"18260±70","GrA-22439","Solutrean","bone","intcal13"
"164","Cobrante","5","5","Cobrante 5",30480,250,0.008,"30480±250","GrA-22441","Aurignacian","bone","intcal13"
"165","Cobrante","6","6","Cobrante 6",33320,310,0.009,"33320±310","GrA-22442","Aurignacian","bone","intcal13"
"166","Cofresnedo","4.3","4.3","Cofresnedo 4.3",31360,310,0.01,"31360±310","GrA-20267","early LUP art","charcoal","intcal13"
"167","Cofresnedo","VO","VO","Cofresnedo VO",7680,50,0.007,"7680±50","GrA-20146","Mesolithic","bone","intcal13"
"168","Coimbre","Co.B.1,1b","Co.B.1,1b","Coimbre Co.B.1,1b",12340,40,0.003,"12340±40","Beta-392008","U Magdalenian","bone","intcal13"
"169","Coimbre","Co.B.1,1b","Co.B.1,1b","Coimbre Co.B.1,1b",12840,70,0.005,"12840±70","Beta-271250","U Magdalenian","charcoal","intcal13"
"170","Coimbre","Co.B.1a","Co.B.1a","Coimbre Co.B.1a",12990,60,0.005,"12990±60","Beta-297104","U Magdalenian","charcoal","intcal13"
"171","Coimbre","Co.B.2","Co.B.2","Coimbre Co.B.2",13230,60,0.005,"13230±60","Beta-297105","M Magdalenian","bone","intcal13"
"172","Coimbre","Co.B.2","Co.B.2","Coimbre Co.B.2",14000,60,0.004,"14000±60","Beta-367727","M Magdalenian","bone","intcal13"
"173","Coimbre","Co.B.4","Co.B.4","Coimbre Co.B.4",15710,60,0.004,"15710±60","Beta-340005","L Magdalenian","bone","intcal13"
"174","Coimbre","Co.B.4","Co.B.4","Coimbre Co.B.4",16440,70,0.004,"16440±70","Beta-367726","L Magdalenian","bone","intcal13"
"175","Coimbre","Co.B.5.1","Co.B.5.1","Coimbre Co.B.5.1",16980,70,0.004,"16980±70","Beta-322480","archaic Mag","bone","intcal13"
"176","Coimbre","Co.B.5.1","Co.B.5.1","Coimbre Co.B.5.1",17110,80,0.005,"17110±80","Beta-297106","archaic Mag","bone","intcal13"
"177","Collamosa","conchero","conchero","Collamosa conchero",7638,726,0.095,"7638±726","COL-1","Asturian?","AAR date","intcal13"
"178","Colmenera","conchero","conchero","Colmenera conchero",7009,614,0.088,"7009±614","CLM-1","post-Mesolithic?","AAR date","intcal13"
"179","Columba","conchero","conchero","Columba conchero",7020,90,0.013,"7020±90","UBAR-833","Asturian","charcoal","intcal13"
"180","Columba","conchero","conchero","Columba conchero",7090,60,0.008,"7090±60","TO-10233","Asturian","bone","intcal13"
"181","Columba","conchero","conchero","Columba conchero",7450,120,0.016,"7450±120","UBAR-795","Asturian","shell","marine13"
"182","Columba","conchero","conchero","Columba conchero",7550,140,0.019,"7550±140","UBAR-782","Asturian","shell","marine13"
"183","Cordoveganes","conchero","conchero","Cordoveganes conchero",5333,194,0.036,"5333±194","CDV-1","post-Mesolithic?","AAR date","intcal13"
"184","Cosfresnedo","conchero","conchero","Cosfresnedo conchero",6865,45,0.007,"6865±45",NA,"Mesolithic",NA,"intcal13"
"185","Cova Alonso","m","m","Cova Alonso m",14840,90,0.006,"14840±90","GrA-21537","L Magdalenian","charcoal","intcal13"
"186","Cova Alonso","m","m","Cova Alonso m",15069,90,0.006,"15069±90","GrA-21536","L Magdalenian","charcoal","intcal13"
"187","Covaciella","?","?","Covaciella ?",11094,205,0.018,"11094±205",NA,"Magdalenian IV?","shell","marine13"
"188","Covaciella","?","?","Covaciella ?",13290,140,0.011,"13290±140","GifA-95370","LUP art","humic acid","intcal13"
"189","Covaciella","?","?","Covaciella ?",13710,180,0.013,"13710±180","GifA-95362","Magdalenian IV?","humic acid","intcal13"
"190","Covaciella","?","?","Covaciella ?",14060,140,0.01,"14060±140","GifA-95281","LUP art","pigment","intcal13"
"191","Covaciella","?","?","Covaciella ?",14260,130,0.009,"14260±130","GifA-95364","Magdalenian IV?","pigment","intcal13"
"192","Covajorno","conchero","conchero","Covajorno conchero",7440,955,0.128,"7440±955","COV-1","Mesolithic","AAR date","intcal13"
"193","Covajorno","conchero","conchero","Covajorno conchero",7540,100,0.013,"7540±100","UBAR-773","Asturian","shell","marine13"
"194","Covajorno","conchero","conchero","Covajorno conchero",7580,60,0.008,"7580±60","UBAR-774","Asturian","shell","marine13"
"195","Covalejos","III (B?)","III (B?)","Covalejos III (B?)",30380,250,0.008,"30380±250","GrA-22443","EUP","antler","intcal13"
"196","Covalejos","III (C?)","III (C?)","Covalejos III (C?)",32840,280,0.009,"32840±280","GrA-24220","Aurignacian","bone","intcal13"
"197","Covalejos","III (C?)","III (C?)","Covalejos III (C?)",37940,400,0.011,"37940±400","GrA-33877","Aurignacian","tooth","intcal13"
"198","Cualventi","2","2","Cualventi 2",14210,220,0.015,"14210±220","GrN-13775","Solutrean","charcoal","intcal13"
"199","Cualventi","5","5","Cualventi 5",11270,150,0.013,"11270±150","GrN-13775","Final Magdelenian?",NA,"intcal13"
"200","Cualventi","E","E","Cualventi E",14580,60,0.004,"14580±60",NA,"L Magdalenian",NA,"intcal13"
"201","Cualventi","E","E","Cualventi E",15450,70,0.005,"15450±70",NA,"L Magdalenian",NA,"intcal13"
"202","Cualventi","E","E","Cualventi E",15420,70,0.005,"15420±70",NA,"L Magdalenian",NA,"intcal13"
"203","Cualventi","E","E","Cualventi E",15950,70,0.004,"15950±70",NA,"L Magdalenian",NA,"intcal13"
"204","Cubio Redondo","conchero","conchero","Cubio Redondo conchero",5780,50,0.009,"5780±50","Beta-10649","Meso/Neolithic?","bone","intcal13"
"205","Cubio Redondo","conchero","conchero","Cubio Redondo conchero",6630,50,0.008,"6630±50","Beta-10650","Mesolithic","bone","intcal13"
"206","Cueto de la Mina","B","B","Cueto de la Mina B",11630,120,0.01,"11630±120","OxA-969","Final Magdelenian","antler","intcal13"
"207","Cueto de la Mina","B","B","Cueto de la Mina B",11650,190,0.016,"11650±190","OxA-996","U Magdalenian","antler","intcal13"
"208","Cueto de la Mina","F","F","Cueto de la Mina F",17545,205,0.012,"17545±205","UA-3588","Upper Solutrean","charcoal","intcal13"
"209","Cueto de la Mina","V","V","Cueto de la Mina V",19110,205,0.011,"19110±205","UA-3586","Upper Solutrean","charcoal","intcal13"
"210","Cueto de la Mina","VII, H","VII, H","Cueto de la Mina VII, H",26470,520,0.02,"26470±520","UA-3587","Gravetian","bone","intcal13"
"211","Cueto Molino","conchero","conchero","Cueto Molino conchero",7552,1178,0.156,"7552±1178","CML-1","Mesolithic?","AAR date","intcal13"
"212","Cuetu la Hoz","conchero","conchero","Cuetu la Hoz conchero",7690,130,0.017,"7690±130","UBAR-792","Asturian","shell","marine13"
"213","Cuetu la Hoz","conchero","conchero","Cuetu la Hoz conchero",9101,1141,0.125,"9101±1141","CLZ-1","Mesolithic?","AAR date","intcal13"
"214","Cueva del Mar","conchero aislado","conchero aislado","Cueva del Mar conchero aislado",7860,60,0.008,"7860±60","AA-45572","Mesolithic","charcoal","intcal13"
"215","Cueva del Mar","conchero base","conchero base","Cueva del Mar conchero base",7225,45,0.006,"7225±45","AA-45575","Asturian","charcoal","intcal13"
"216","Cueva del Mar","conchero medio","conchero medio","Cueva del Mar conchero medio",7015,40,0.006,"7015±40","AA-45573","Asturian","charcoal","intcal13"
"217","Cueva del Mar","conchero superior","conchero superior","Cueva del Mar conchero superior",6725,50,0.007,"6725±50","AA-45576","Asturian","charcoal","intcal13"
"218","Cueva del Ruso",NA,NA,"Cueva del Ruso",16410,210,0.013,"16410±210",NA,"L Magdalenian",NA,"intcal13"
"219","Cueva del Ruso","?","?","Cueva del Ruso ?",31325,382,0.012,"31325±382","Beta-70812","Aurignacian",NA,"intcal13"
"220","Cueva del Ruso","1","1","Cueva del Ruso 1",30200,1360,0.045,"30200±1360",NA,"Aurignacian",NA,"intcal13"
"221","Cueva del Ruso","5a","5a","Cueva del Ruso 5a",34184,1678,0.049,"34184±1678","Beta-70813","Aurignacian",NA,"intcal13"
"222","Cueva del Ruso","Ivb","Ivb","Cueva del Ruso Ivb",27620,180,0.007,"27620±180","Beta-12036","evolved Aurignacian",NA,"intcal13"
"223","Cueva Oscura","2,Ob","2,Ob","Cueva Oscura 2,Ob",11880,200,0.017,"11880±200","Gif-5102","Azilian","charcoal","intcal13"
"224","Cueva Oscura","IIA","IIA","Cueva Oscura IIA",9440,90,0.01,"9440±90","Ly-2983","Azilian",NA,"intcal13"
"225","Cueva Oscura","IIIA","IIIA","Cueva Oscura IIIA",13490,160,0.012,"13490±160","Gif-5106","Final Magdelenian/Azilian","vegetal carbon","intcal13"
"226","Cueva Oscura","N-3a","N-3a","Cueva Oscura N-3a",11670,200,0.017,"11670±200","Gif-5106","Magdalenian","charcoal","intcal13"
"227","Cueva Oscura","N-3b","N-3b","Cueva Oscura N-3b",13500,150,0.011,"13500±150","Gif-5407","Magdalenian","charcoal","intcal13"
"228","Cullalvera","?","?","Cullalvera ?",10400,90,0.009,"10400±90","GifA-96261","LUP art","pig'mt/charcoal","intcal13"
"229","Ekain","?","?","Ekain ?",4930,80,0.016,"4930±80","GifA-95192","LUP art","pigm't/horse 45","intcal13"
"230","Ekain","?","?","Ekain ?",6840,80,0.012,"6840±80","GifA-95193","LUP art","pigm't/horse 44","intcal13"
"231","Ekain","?","?","Ekain ?",7630,80,0.01,"7630±80","GifA-95228","LUP art","pigm't/horse 45","intcal13"
"232","Ekain","?","?","Ekain ?",8040,80,0.01,"8040±80","GifA-96081","LUP art","pigm't/horse 44","intcal13"
"233","Ekain","?","?","Ekain ?",10830,150,0.014,"10830±150","GifA-95376","LUP art","hum fract horse 45","intcal13"
"234","Ekain","?","?","Ekain ?",10960,150,0.014,"10960±150","GifA-96114","LUP art","hum fract horse 44","intcal13"
"235","Ekain","?","?","Ekain ?",11310,90,0.008,"11310±90","GifA-96080","LUP art","pigm't/horse 44","intcal13"
"236","Ekain","?","?","Ekain ?",11760,180,0.015,"11760±180","GifA-95309","LUP art","hum fract horse 44","intcal13"
"237","Ekain","?","?","Ekain ?",12520,100,0.008,"12520±100","GifA-96089","LUP art","pigm't/horse 9","intcal13"
"238","Ekain","?","?","Ekain ?",14440,230,0.016,"14440±230","GifA-96115","LUP art","hum fract horse 29","intcal13"
"239","Ekain","II","II","Ekain II",9540,210,0.022,"9540±210","I-11666","Azilian","bone","intcal13"
"240","Ekain","III","III","Ekain III",12750,250,0.02,"12750±250","CSIC-171","Magdalenian/Azilian","charcoal","intcal13"
"241","Ekain","IV","IV","Ekain IV",9460,185,0.02,"9460±185","I-9239","Azilian","charcoal","intcal13"
"242","Ekain","V","V","Ekain V",13350,250,0.019,"13350±250","CSIC-172","U Magdalenian/Azilian","charcoal","intcal13"
"243","Ekain","VIb base","VI","Ekain VI",12050,190,0.016,"12050±190","I-9240","U Magdalenian","charcoal","intcal13"
"244","Ekain","VII","VII","Ekain VII",20900,450,0.022,"20900±450","I-13005","Solutrean","charcoal","intcal13"
"245","Ekain","VII lower","VII","Ekain VII",13950,330,0.024,"13950±330","I-10931","L Magdalenian (III)","charcoal?","intcal13"
"246","Ekain","VIIb","VII","Ekain VII",16030,240,0.015,"16030±240","I-12224","L Magdalenian (III)","charcoal","intcal13"
"247","Ekain","VIIb","VII","Ekain VII",16510,270,0.016,"16510±270","I-12020","L Magdalenian (III)","charcoal","intcal13"
"248","Ekain","VIIc","VII","Ekain VII",15970,240,0.015,"15970±240","I-12225","L Magdalenian (III)","charcoal","intcal13"
"249","Ekain","VIId","VII","Ekain VII",15400,240,0.016,"15400±240","I-12226","L Magdalenian (III)","charcoal","intcal13"
"250","Ekain","VIIf","VII","Ekain VII",16250,250,0.015,"16250±250","I-12566","L Magdalenian (III)","charcoal","intcal13"
"251","Ekain","VIII","VIII","Ekain VIII",20900,450,0.022,"20900±450",NA,"Solutrean/Gravetian?","charcoal?","intcal13"
"252","El Aguila","conchero","conchero","El Aguila conchero",7705,50,0.006,"7705±50","UBAR-794","Asturian","shell","marine13"
"253","El Buxú","1","1","El Buxú 1",12600,70,0.006,"12600±70","GrA-2462","Final Solutrean","bone","intcal13"
"254","El Buxú","2","2","El Buxú 2",12090,70,0.006,"12090±70","GrA-2481","Final Solutrean","bone?","intcal13"
"255","El Buxú","2","2","El Buxú 2",13720,280,0.02,"13720±280","GrN-18385","Final Solutrean","charcoal?","intcal13"
"256","El Buxú","3","3","El Buxú 3",16730,500,0.03,"16730±500","GrN-19386","Final Solutrean","charcoal?","intcal13"
"257","El Buxú","Ensemble XV","Ensemble XV","El Buxú Ensemble XV",9139,170,0.019,"9139±170","GifA-98192","LUP art","charcoal","intcal13"
"258","El Castillo","12","12","El Castillo 12",24070,150,0.006,"24070±150","Beta-242617","Gravetian","bone","intcal13"
"259","El Castillo","12","12","El Castillo 12",25520,140,0.005,"25520±140","Beta-298431","Gravetian","bone","intcal13"
"260","El Castillo","12","12","El Castillo 12",25920,140,0.005,"25920±140","Beta-298430","Gravetian","bone","intcal13"
"261","El Castillo","14","14","El Castillo 14",29600,180,0.006,"29600±180","Beta-298433","Gravetian","bone","intcal13"
"262","El Castillo","14","14","El Castillo 14",29740,190,0.006,"29740±190","Beta-298432","Gravetian","bone","intcal13"
"263","El Castillo","16","16","El Castillo 16",34300,1000,0.029,"34300±1000","GifA-95539","proto-Aurignacian","charcoal","intcal13"
"264","El Castillo","18","18","El Castillo 18",39500,2000,0.051,"39500±2000","GifA-49147","EUP","charcoal","intcal13"
"265","El Castillo","18 b1  15-4","18B1","El Castillo 18B1",38500,1800,0.047,"38500±1800","OxA-970a","archaic Aurignacian","charcoal","intcal13"
"266","El Castillo","18 b2  14-4","18B2","El Castillo 18B2",37100,2200,0.059,"37100±2200","OxA-2473","arch Aurignacian/evol Moust","charcoal","intcal13"
"267","El Castillo","18 b2  14-4","18B2","El Castillo 18B2",37700,1800,0.048,"37700±1800","AA-2407","arch Aurignacian/evol Moust","charcoal","intcal13"
"268","El Castillo","18 b2  14-4","18B2","El Castillo 18B2",38500,1300,0.034,"38500±1300","OxA-2474","arch Aurignacian/evol Moust","charcoal","intcal13"
"269","El Castillo","18 b2  14-4","18B2","El Castillo 18B2",40700,1600,0.039,"40700±1600","OxA-2475","arch Aurignacian/evol Moust","charcoal","intcal13"
"270","El Castillo","18 b2  14-4","18B2","El Castillo 18B2",45800,2300,0.05,"45800±2300","OxA-21972","arch Aurignacian/evol Moust","bone","intcal13"
"271","El Castillo","18 b2  14-4","18B2","El Castillo 18B2",46000,2400,0.052,"46000±2400","OxA-21973","arch Aurignacian/evol Moust","bone","intcal13"
"272","El Castillo","18C","18C","El Castillo 18C",36200,4100,0.113,"36200±4100","OxA-970b","arch Aurignacian/evol Moust","tooth","intcal13"
"273","El Castillo","18C","18C","El Castillo 18C",39900,4600,0.115,"39900±4600","OxA-970c","arch Aurignacian/evol Moust","tooth","intcal13"
"274","El Castillo","18C square 17","18C","El Castillo 18C",31400,3900,0.124,"31400±3900","LU 93124","archaic Aurignacian","bone (ESR)","intcal13"
"275","El Castillo","18C square 17","18C","El Castillo 18C",33300,4000,0.12,"33300±4000","LU 93123AC","archaic Aurignacian","bone (ESR)","intcal13"
"276","El Castillo","18C square 17","18C","El Castillo 18C",33700,4200,0.125,"33700±4200","LU 93123AD","archaic Aurignacian","bone (ESR)","intcal13"
"277","El Castillo","18C square 17","18C","El Castillo 18C",34600,4400,0.127,"34600±4400","LU 93124A1C","archaic Aurignacian","bone (ESR)","intcal13"
"278","El Castillo","18C square 17","18C","El Castillo 18C",36200,4100,0.113,"36200±4100","ESR LU","archaic Aurignacian","bone (ESR)","intcal13"
"279","El Castillo","18C square 17","18C","El Castillo 18C",37100,4800,0.129,"37100±4800","LU 93120A2","archaic Aurignacian","bone (ESR)","intcal13"
"280","El Castillo","18C square 17","18C","El Castillo 18C",41200,5200,0.126,"41200±5200","LU 93121A2","archaic Aurignacian","bone (ESR)","intcal13"
"281","El Castillo","18C square 17","18C","El Castillo 18C",42100,5400,0.128,"42100±5400","OxA-22016","archaic Aurignacian","tooth","intcal13"
"282","El Castillo","18c,18 CN 18-7Aurignacian","18C","El Castillo 18C",35000,600,0.017,"35000±600","OxA-970d","IUP, Aurignacian","antler","intcal13"
"283","El Castillo","18c,18 CN 18-7Aurignacian","18C","El Castillo 18C",36200,4100,0.113,"36200±4100","OxA-970e","IUP, Aurignacian","bone","intcal13"
"284","El Castillo","18c,18 CN 18-7Aurignacian","18C","El Castillo 18C",39800,1400,0.035,"39800±1400","OxA-970f","IUP, Aurignacian","charcoal","intcal13"
"285","El Castillo","18c,18 CN 18-7Aurignacian","18C","El Castillo 18C",39900,4600,0.115,"39900±4600","OxA-970g","IUP, Aurignacian","bone","intcal13"
"286","El Castillo","18c,18 CN 18-7Aurignacian","18C","El Castillo 18C",40000,2100,0.053,"40000±2100","OxA-970h","IUP, Aurignacian","charcoal","intcal13"
"287","El Castillo","18c,18 CN 18-7Aurignacian","18C","El Castillo 18C",40000,5000,0.125,"40000±5000","OxA-970i","IUP, Aurignacian","bone","intcal13"
"288","El Castillo","18c,18 CN 18-7Aurignacian","18C","El Castillo 18C",40700,1500,0.037,"40700±1500","OxA-970j","IUP, Aurignacian","charcoal","intcal13"
"289","El Castillo","18c,18 CN 18-7Aurignacian","18C","El Castillo 18C",41100,1700,0.041,"41100±1700","OxA-970k","IUP, Aurignacian","charcoal","intcal13"
"290","El Castillo","18c,18 CN 18-7Aurignacian","18C","El Castillo 18C",42000,1500,0.036,"42000±1500","OxA-970l","IUP, Aurignacian","bone","intcal13"
"291","El Castillo","18c,18 CN 18-7Aurignacian","18C","El Castillo 18C",42200,2100,0.05,"42200±2100","OxA-970m","IUP, Aurignacian","charcoal","intcal13"
"292","El Castillo","18c,18 CN 18-7Aurignacian","18C","El Castillo 18C",42700,1600,0.037,"42700±1600","OxA-970n","IUP, Aurignacian","bone","intcal13"
"293","El Castillo","18c,18 CN 18-7Aurignacian","18C","El Castillo 18C",43100,1700,0.039,"43100±1700","OxA-970o","IUP, Aurignacian","bone","intcal13"
"294","El Castillo","20 B 2","20B2","El Castillo 20B2",31450,1400,0.045,"31450±1400","I-5149","lower Aurignacian","?","intcal13"
"295","El Castillo","6","6","El Castillo 6",10310,120,0.012,"10310±120","OxA-970p","U Magdalenian",NA,"intcal13"
"296","El Castillo","6","6","El Castillo 6",11109,480,0.043,"11109±480","Ly-C-577","U Magdalenian",NA,"intcal13"
"297","El Castillo","6","6","El Castillo 6",12390,130,0.01,"12390±130","OxA-972","U Magdalenian","antler","intcal13"
"298","El Castillo","6-superior","6","El Castillo 6",12150,280,0.023,"12150±280","OxA-970q","Azilian","antler","intcal13"
"299","El Castillo","8","8","El Castillo 8",11080,500,0.045,"11080±500",NA,"U Magdalenian",NA,"intcal13"
"300","El Castillo","8","8","El Castillo 8",16850,220,0.013,"16850±220","OxA-971","L Magdalenian",NA,"intcal13"
"301","El Castillo","Aurignacian","Aurignacian","El Castillo Aurignacian",42100,1500,0.036,"42100±1500","OxA-22018","Transitional Aurignacian","bone","intcal13"
"302","El Castillo","Aurignacian (HO)","Aurignacian (HO)","El Castillo Aurignacian (HO)",39900,1100,0.028,"39900±1100","OxA-22637","proto-Aurignacian","bone","intcal13"
"303","El Castillo","B1","B1","El Castillo B1",12620,110,0.009,"12620±110","OxA-970r","U Magdalenian","bone","intcal13"
"304","El Castillo","B1 (bison 18a)","bison 18a","El Castillo bison 18a",13520,130,0.01,"13520±130","OxA-970s","U Magdalenian","pigment","intcal13"
"305","El Castillo","B1-bison 18a","bison 18a","El Castillo bison 18a",13060,200,0.015,"13060±200","GifA-91004","U Magdalenian","charcoal/pig't","intcal13"
"306","El Castillo","B1-bison 18b","bison 18b","El Castillo bison 18b",12910,180,0.014,"12910±180","GifA-95172","LUP art","charcoal/pig't","intcal13"
"307","El Castillo","bison 18c","bison 18c","El Castillo bison 18c",10510,100,0.01,"10510±100","OxA-970t","LUP art","pigment","intcal13"
"308","El Castillo","bison 18c","bison 18c","El Castillo bison 18c",10720,100,0.009,"10720±100","OxA-970u","LUP art","pigment","intcal13"
"309","El Castillo","bison 18c","bison 18c","El Castillo bison 18c",10740,100,0.009,"10740±100","OxA-970v","LUP art","pigment","intcal13"
"310","El Castillo","bison 18c","bison 18c","El Castillo bison 18c",11270,80,0.007,"11270±80","OxA-970w","LUP art","pigment","intcal13"
"311","El Castillo","bison 18c","bison 18c","El Castillo bison 18c",12390,190,0.015,"12390±190","GifA-95375","LUP art","humic acid","intcal13"
"312","El Castillo","bison 19","bison 19","El Castillo bison 19",13510,190,0.014,"13510±190","GifA-98159","LUP art","humic acid","intcal13"
"313","El Castillo","bison 19","bison 19","El Castillo bison 19",13520,120,0.009,"13520±120","OxA-970x","LUP art","pigment","intcal13"
"314","El Castillo","bison 19","bison 19","El Castillo bison 19",13570,130,0.01,"13570±130","GifA-95108","LUP art","charcoal/pig't","intcal13"
"315","El Castillo","bison 19","bison 19","El Castillo bison 19",13710,140,0.01,"13710±140","GifA-98152","LUP art","charcoal/pig't","intcal13"
"316","El Castillo","bison 19","bison 19","El Castillo bison 19",14090,150,0.011,"14090±150","GifA-98151","LUP art",NA,"intcal13"
"317","El Castillo","CS 11","CS 11","El Castillo CS 11",12930,130,0.01,"12930±130","OxA-970y","Final Magdelenian","bone","intcal13"
"318","El Castillo","CS 6","CS 6","El Castillo CS 6",10310,120,0.012,"10310±120","OxA-970z","Final Magdelenian","bone","intcal13"
"319","El Castillo","CS 7","CS 7","El Castillo CS 7",16850,220,0.013,"16850±220","OxA-970aa","Solutreanut/Badegulian","bone","intcal13"
"320","El Castillo","Galeria de los Discos","Galeria de los Discos","El Castillo Galeria de los Discos",34250,170,0.005,"34250±170","0-69","LUP art","charcoal/pig't","intcal13"
"321","El Castillo","Galeria de los Discos","Galeria de los Discos","El Castillo Galeria de los Discos",35720,260,0.007,"35720±260","O-87","LUP art","charcoal/pig't","intcal13"
"322","El Castillo","goat 56","goat 56","El Castillo goat 56",13900,130,0.009,"13900±130","OxA-970bb","L Magdalenian","charcoal","intcal13"
"323","El Castillo","goat 56-57","goat 56-57","El Castillo goat 56-57",14740,140,0.009,"14740±140","GifA-98156","L Magdalenian","charcoal/pig't","intcal13"
"324","El Castillo","goat 56-57","goat 56-57","El Castillo goat 56-57",16980,180,0.011,"16980±180","GifA-98153","U Magdalenian","charcoal/pig't","intcal13"
"325","El Castillo","horse 25-27","horse 25-27","El Castillo horse 25-27",19140,230,0.012,"19140±230","GifA-98154","Solutrean","charcoal/pig't","intcal13"
"326","El Castillo","level 16/17 (VCV)","level 16/17 (VCV)","El Castillo level 16/17 (VCV)",39100,1000,0.026,"39100±1000","OxA-22201","proto-Aurignacian","bone","intcal13"
"327","El Castillo","Panel de las Manos","Panel de las Manos","El Castillo Panel de las Manos",37630,340,0.009,"37630±340","0-82","LUP art","charcoal/pig't","intcal13"
"328","El Castillo","Panel de las Manos","Panel de las Manos","El Castillo Panel de las Manos",41400,570,0.014,"41400±570","O-83","LUP art","charcoal/pig't","intcal13"
"329","El Castillo","Techo de las Manos","Panel de las Manos","El Castillo Panel de las Manos",22880,270,0.012,"22880±270","O-80","LUP art","charcoal/pig't","intcal13"
"330","El Castillo","Techo las Manos","Panel de las Manos","El Castillo Panel de las Manos",24340,130,0.005,"24340±130","OxA-970cc","LUP art","pigment","intcal13"
"331","El Cierro","conchero","conchero","El Cierro conchero",10400,515,0.05,"10400±515","GaK-2548","Azilian?","charcoal","intcal13"
"332","El Cierro","F","F","El Cierro F",15460,75,0.005,"15460±75","OxA-27869","Magdalenian","bone","intcal13"
"333","El Cierro","G","G","El Cierro G",15580,75,0.005,"15580±75","OxA-27870","Magdalenian","bone","intcal13"
"334","El Cierro","G","G","El Cierro G",16360,55,0.003,"16360±55","OxA-27871","Magdalenian","shell","marine13"
"335","El Conde","2a2","2a2","El Conde 2a2",31540,400,0.013,"31540±400","Beta-179280","Aurignacian","charcoal","intcal13"
"336","El Conde","2a3","2a3","El Conde 2a3",29850,320,0.011,"29850±320","Beta-179282","Aurignacian","charcoal","intcal13"
"337","El Conde","B, en bas","B, en bas","El Conde B, en bas",23930,180,0.008,"23930±180","GX-25787","LUP art","charcoal","intcal13"
"338","El Conde","B, en haut","B, en haut","El Conde B, en haut",21920,180,0.008,"21920±180","GX-25788","LUP art","charcoal","intcal13"
"339","El Conde","N20b","N20b","El Conde N20b",34730,500,0.014,"34730±500","Beta-224303","Aurignacian","bone","intcal13"
"340","El Conde","N20C","N20C","El Conde N20C",32530,440,0.014,"32530±440","Beta-217216","EUP","bone","intcal13"
"341","El Cuco","III","III","El Cuco III",23400,250,0.011,"23400±250","GrA-32097","?","charcoal","intcal13"
"342","El Cuco","XIII","XIII","El Cuco XIII",30020,160,0.005,"30020±160","GrA-32436","evolved Aurignacian","burnt bone","intcal13"
"343","El Horno","0","0","El Horno 0",11630,170,0.015,"11630±170",NA,"Azilian",NA,"intcal13"
"344","El Horno","1","1","El Horno 1",12530,190,0.015,"12530±190",NA,"U Magdalenian",NA,"intcal13"
"345","El Horno","2","2","El Horno 2",12250,190,0.016,"12250±190",NA,"U Magdalenian",NA,"intcal13"
"346","El Juyo","11","11","El Juyo 11",15808,1065,0.067,"15808±1065","JY11-1","L Magdalenian","AAR date","intcal13"
"347","El Juyo","4","4","El Juyo 4",13920,240,0.017,"13920±240","I-10736","L Magdalenian (III)",NA,"intcal13"
"348","El Juyo","6","6","El Juyo 6",11400,300,0.026,"11400±300","I-10737","L Magdalenian","charcoal","intcal13"
"349","El Juyo","7","7","El Juyo 7",14440,180,0.012,"14440±180","I-10738","L Magdalenian",NA,"intcal13"
"350","El Juyo","8","8","El Juyo 8",14454,304,0.021,"14454±304","JY8-1","L Magdalenian","AAR date","intcal13"
"351","El Juyo","VI","VI","El Juyo VI",15300,700,0.046,"15300±700","M-830","L Magdalenian",NA,"intcal13"
"352","El Linar","Pit B, Level 3","Pit B, Level 3","El Linar Pit B, Level 3",19680,90,0.005,"19680±90",NA,"Solutrean",NA,"intcal13"
