,site,prov,site.prov,area.exc,mean.thick,vol.exc,lvd,total.lithics,total.ret,retouch.freq,period,industry,IGP,Ib/b,elev.modern,dist.coast.modern,dist.coast.lgm,lon,lat
50,Ekain,VIII,Ekain VIII,NA,NA,NA,NA,NA,322,NA,LM Magdalenian,LM Magdalenian,NA,72.04,165,14.3883527256031,27.5264426389067,-13.8986613847045,43.2361111111111
51,El Castillo,12,El Castillo 12,NA,NA,NA,NA,NA,134,NA,EUP,Gravettian,6.7,NA,73,15.2752383946027,23.1325180922753,-3.96515,43.29306
52,El Castillo,14,El Castillo 14,NA,NA,NA,NA,NA,122,NA,EUP,Gravettian,11.5,NA,73,15.2752383946027,23.1325180922753,-3.96515,43.29306
53,El Castillo,16,El Castillo 16,NA,NA,NA,NA,NA,86,NA,EUP,Aurignacian,3.49,NA,73,15.2752383946027,23.1325180922753,-3.96515,43.29306
54,El Castillo,18,El Castillo 18,NA,NA,NA,NA,NA,865,NA,EUP,Aurignacian,2.21,NA,73,15.2752383946027,23.1325180922753,-3.96515,43.29306
55,El Castillo,8,El Castillo 8,NA,NA,NA,NA,NA,559,NA,LM Magdalenian,LM Magdalenian,NA,0.3,73,15.2752383946027,23.1325180922753,-3.96515,43.29306
56,El Cierro,6,El Cierro 6,NA,NA,NA,NA,NA,81,NA,EUP,Aurignacian,8.6,NA,94,1.9909111687115,8.96161771822131,-5.10599,43.45833
57,El Cierro,7,El Cierro 7,NA,NA,NA,NA,NA,62,NA,EUP,Aurignacian,6.3,NA,94,1.9909111687115,8.96161771822131,-5.10599,43.45833
58,El Cierro,III,El Cierro III,NA,NA,NA,NA,NA,343,NA,LM Magdalenian,LM Magdalenian,NA,7,94,1.9909111687115,8.96161771822131,-5.10599,43.45833
59,El Cierro,IV,El Cierro IV,20,2.2,44,19.7272727272727,868,337,0.388248847926267,Solutrean,Solutrean,NA,0.9,94,1.9909111687115,8.96161771822131,-5.10599,43.45833
60,El Conde,1,El Conde  1,NA,NA,NA,NA,NA,441,NA,EUP,Aurignacian,0.5,NA,398,28.8586439234585,43.3626897770343,-5.98043,43.2875
61,El Conde,2,El Conde  2,NA,NA,NA,NA,NA,273,NA,EUP,Aurignacian,3.3,NA,398,28.8586439234585,43.3626897770343,-5.98043,43.2875
62,El Conde,4,El Conde  4,NA,NA,NA,NA,NA,364,NA,EUP,Aurignacian,0.6,NA,398,28.8586439234585,43.3626897770343,-5.98043,43.2875
63,El Juyo,1955-57 comb.,El Juyo 1955-57 comb.,NA,NA,NA,NA,NA,342,NA,LM Magdalenian,LM Magdalenian,NA,6.1,48,4.30635961713348,10.5003719978985,-3.88849,43.43139
64,El Juyo,1978-82,El Juyo 1978-82,NA,NA,NA,NA,NA,0,NA,LM Magdalenian,LM Magdalenian,NA,NA,48,4.30635961713348,10.5003719978985,-3.88849,43.43139
65,El Juyo,4,El Juyo 4,NA,NA,NA,NA,31571,877,0.027778657628837,LM Magdalenian,LM Magdalenian,NA,10,48,4.30635961713348,10.5003719978985,-3.88849,43.43139
66,El Juyo,4 santuario,El Juyo 4 santuario,NA,NA,NA,NA,2268,63,0.027777777777778,LM Magdalenian,LM Magdalenian,NA,9.5,48,4.30635961713348,10.5003719978985,-3.88849,43.43139
67,El Juyo,6,El Juyo 6,NA,NA,NA,NA,17063,474,0.0277794057317,LM Magdalenian,LM Magdalenian,NA,30.8,48,4.30635961713348,10.5003719978985,-3.88849,43.43139
68,El Juyo,7,El Juyo 7,NA,NA,NA,NA,5615,156,0.027782724844167,LM Magdalenian,LM Magdalenian,NA,13.5,48,4.30635961713348,10.5003719978985,-3.88849,43.43139
69,El Pendo,I,El Pendo I,NA,NA,NA,NA,NA,119,NA,Azilian,Azilian,NA,24.2,151,6.57583693700559,14.8502873591141,-3.91182,43.38667
70,El Pendo,II,El Pendo II,NA,NA,NA,NA,NA,291,NA,U Magdalenian,U Magdalenian,NA,14.4,151,6.57583693700559,14.8502873591141,-3.91182,43.38667
71,El Pendo,IIa-b,El Pendo IIa-b,NA,NA,NA,NA,NA,122,NA,U Magdalenian,U Magdalenian,NA,21.2,151,6.57583693700559,14.8502873591141,-3.91182,43.38667
72,El Pendo,IIc-g,El Pendo IIc-g,NA,NA,NA,NA,NA,258,NA,U Magdalenian,U Magdalenian,NA,20.5,151,6.57583693700559,14.8502873591141,-3.91182,43.38667
73,El Pendo,III,El Pendo III,NA,0.25,NA,NA,NA,180,NA,EUP,Final Aurignacian?,1.7,NA,151,6.57583693700559,14.8502873591141,-3.91182,43.38667
74,El Pendo,IV,El Pendo IV,NA,0.15,NA,NA,NA,356,NA,EUP,Final Aurignacian?,2.8,NA,151,6.57583693700559,14.8502873591141,-3.91182,43.38667
75,El Pendo,V,El Pendo V,NA,0.25,NA,NA,NA,32,NA,EUP,Gravettian,37.5,NA,151,6.57583693700559,14.8502873591141,-3.91182,43.38667
76,El Pendo,Va,El Pendo Va,NA,NA,NA,NA,NA,71,NA,EUP,Gravettian,9.9,NA,151,6.57583693700559,14.8502873591141,-3.91182,43.38667
77,El Pendo,Vb,El Pendo Vb,NA,NA,NA,NA,NA,69,NA,EUP,Evol Aurignacian,2.9,NA,151,6.57583693700559,14.8502873591141,-3.91182,43.38667
78,El Pendo,VI,El Pendo VI,NA,0.15,NA,NA,NA,145,NA,EUP,Evol Aurignacian,5.5,NA,151,6.57583693700559,14.8502873591141,-3.91182,43.38667
79,El Pendo,VII,El Pendo VII,NA,0.1,NA,NA,NA,405,NA,EUP,Aurignacian I,4.2,NA,151,6.57583693700559,14.8502873591141,-3.91182,43.38667
80,El Pendo,VIII,El Pendo VIII,NA,0.07,NA,NA,NA,79,NA,EUP,Chatel,6.3,NA,151,6.57583693700559,14.8502873591141,-3.91182,43.38667
81,El Pendo,VIIIa,El Pendo VIIIa,NA,0.1,NA,NA,NA,189,NA,EUP,Arc Aurignacian,8.5,NA,151,6.57583693700559,14.8502873591141,-3.91182,43.38667
82,El Pendo,VIIIb,El Pendo VIIIb,NA,0.1,NA,NA,NA,35,NA,EUP,Arc Aurignacian,0,NA,151,6.57583693700559,14.8502873591141,-3.91182,43.38667
83,El Valle,d1 + d2,El Valle d1 + d2,NA,NA,NA,NA,NA,136,NA,Azilian,Azilian,NA,53,73,14.9140502735934,23.0433632223268,-2.01421342102321,43.2972222222222
84,El Valle,Magdalenian,El Valle Magdalenian,NA,NA,NA,NA,NA,74,NA,U Magdalenian,U Magdalenian,NA,NA,73,14.9140502735934,23.0433632223268,-2.01421342102321,43.2972222222222
85,Entrefoces,A,Entrefoces A,NA,NA,NA,NA,NA,265,NA,U Magdalenian,U Magdalenian,NA,16.9,331,32.3478575754756,44.8433513028003,-5.88333333333333,43.2833333333333
86,Entrefoces,B,Entrefoces B,NA,NA,NA,NA,NA,195,NA,LM Magdalenian,LM Magdalenian,NA,32.8,331,32.3478575754756,44.8433513028003,-5.88333333333333,43.2833333333333
87,Ermittia,Azilian,Ermittia Azilian,NA,NA,NA,NA,NA,0,NA,Azilian,Azilian,NA,NA,23,3.19672600604138,15.4167511519915,-2.37,43.27
88,Erralla,5,Erralla 5,NA,NA,NA,NA,NA,196,NA,LM Magdalenian,LM Magdalenian,NA,44.44,255,12.2087325161874,21.98693524255,-2.21667,43.18333
89,Erralla,II-III,Erralla II-III,NA,NA,NA,NA,NA,64,NA,U Magdalenian,Final Magdalenian,NA,45.3,255,12.2087325161874,21.98693524255,-2.21667,43.18333
90,La Chora,42948,La Chora 42948,NA,NA,NA,NA,NA,699,NA,U Magdalenian,U Magdalenian,NA,16.4,114,4.41154673675433,21.9789741769319,-3.495,43.34528
91,La Lloseta,10,La Lloseta 10,NA,NA,NA,NA,NA,75,NA,LM Magdalenian,LM Magdalenian,NA,10.7,56,0.809941805606571,8.21590086741254,-5.07204,43.45977
92,La Lloseta,10 +11,La Lloseta 10 +11,NA,NA,NA,NA,NA,136,NA,LM Magdalenian,LM Magdalenian,NA,9,56,0.809941805606571,8.21590086741254,-5.07204,43.45977
93,La Lloseta,4,La Lloseta 4,NA,NA,NA,NA,NA,207,NA,LM Magdalenian,LM Magdalenian,NA,14,56,0.809941805606571,8.21590086741254,-5.07204,43.45977
94,La Lloseta,5,La Lloseta 5,NA,NA,NA,NA,NA,283,NA,LM Magdalenian,LM Magdalenian,NA,9.9,56,0.809941805606571,8.21590086741254,-5.07204,43.45977
95,La Lloseta,6,La Lloseta 6,NA,NA,NA,NA,NA,244,NA,LM Magdalenian,LM Magdalenian,NA,17.2,56,0.809941805606571,8.21590086741254,-5.07204,43.45977
96,La Lloseta,7,La Lloseta 7,NA,NA,NA,NA,NA,84,NA,LM Magdalenian,LM Magdalenian,NA,16.7,56,0.809941805606571,8.21590086741254,-5.07204,43.45977
97,La Lloseta,8,La Lloseta 8,NA,NA,NA,NA,NA,141,NA,LM Magdalenian,LM Magdalenian,NA,2.5,56,0.809941805606571,8.21590086741254,-5.07204,43.45977
98,La Lloseta,9,La Lloseta 9,NA,NA,NA,NA,NA,118,NA,LM Magdalenian,LM Magdalenian,NA,5.1,56,0.809941805606571,8.21590086741254,-5.07204,43.45977
99,La Paloma,2 + Azilian,La Paloma 2 + Azilian,NA,NA,NA,NA,403,245,0.607940446650124,Azilian,Azilian,NA,25.5,206,14.0146741024235,27.2955109418301,-5.97626,43.43556
100,La Paloma,2/4 + Upper Mag,La Paloma 2/4 + Upper Mag,NA,NA,NA,NA,396,222,0.560606060606061,U Magdalenian,U Magdalenian,NA,18.2,206,14.0146741024235,27.2955109418301,-5.97626,43.43556
101,La Paloma,5/6 + Middle Mag,La Paloma 5/6 + Middle Mag,NA,NA,NA,NA,1272,433,0.340408805031447,LM Magdalenian,M Magdalenian,NA,31.8,206,14.0146741024235,27.2955109418301,-5.97626,43.43556
102,La Paloma,8 + Lower Mag,La Paloma 8 + Lower Mag,NA,0.25,NA,NA,3034,228,0.075148319050758,LM Magdalenian,L Magdalenian,NA,8.8,206,14.0146741024235,27.2955109418301,-5.97626,43.43556
103,La Riera,1,La Riera 1,5,0.4,2,382.5,765,57,0.074509803921569,EUP,Gravettian/Aurignacian?,1.754,0.053,30,1.74476897657877,10.3497309214086,-4.85349,43.42556
104,La Riera,10,La Riera 10,7,0.05,0.35,7028.57142857143,2460,71,0.028861788617886,Solutrean,Solutrean,NA,0,30,1.74476897657877,10.3497309214086,-4.85349,43.42556
105,La Riera,11,La Riera 11,5.5,0.03,0.165,7054.54545454546,1164,65,0.055841924398626,Solutrean,Solutrean,NA,3.1,30,1.74476897657877,10.3497309214086,-4.85349,43.42556
106,La Riera,12,La Riera 12,3.3,0.025,0.0825,4715.15151515152,389,13,0.033419023136247,Solutrean,Solutrean,NA,0.99,30,1.74476897657877,10.3497309214086,-4.85349,43.42556
107,La Riera,13,La Riera 13,2.3,0.04,0.092,8956.52173913043,824,117,0.141990291262136,Solutrean,Solutrean,NA,2.11,30,1.74476897657877,10.3497309214086,-4.85349,43.42556
108,La Riera,14,La Riera 14,8,0.115,0.92,6695.65217391304,6160,316,0.051298701298701,Solutrean,Solutrean,NA,2.9,30,1.74476897657877,10.3497309214086,-4.85349,43.42556
109,La Riera,15,La Riera 15,12,0.4,4.8,643.125,3087,76,0.024619371558147,Solutrean,Solutrean,NA,11.8,30,1.74476897657877,10.3497309214086,-4.85349,43.42556
110,La Riera,16,La Riera 16,12,0.15,1.8,2923.33333333333,5262,181,0.034397567464842,Solutrean,Solutrean,NA,23.8,30,1.74476897657877,10.3497309214086,-4.85349,43.42556
111,La Riera,17,La Riera 17,10,0.02,0.2,11920,2384,151,0.063338926174497,Solutrean,Solutrean,NA,70.9,30,1.74476897657877,10.3497309214086,-4.85349,43.42556
112,La Riera,18,La Riera 18,12,0.07,0.84,5552.38095238095,4664,225,0.048241852487136,LM Magdalenian,LM Magdalenian,NA,69.3,30,1.74476897657877,10.3497309214086,-4.85349,43.42556
113,La Riera,19,La Riera 19,9,0.06,0.54,5368.51851851852,2899,219,0.075543290789928,LM Magdalenian,LM Magdalenian,NA,61.9,30,1.74476897657877,10.3497309214086,-4.85349,43.42556
114,La Riera,2,La Riera 2,3.2,0.04,0.128,1140.625,146,7,0.047945205479452,Solutrean,Solutrean,NA,0.5,30,1.74476897657877,10.3497309214086,-4.85349,43.42556
115,La Riera,20,La Riera 20,10,0.08,0.8,2352.5,1882,203,0.107863974495218,LM Magdalenian,LM Magdalenian,NA,63.1,30,1.74476897657877,10.3497309214086,-4.85349,43.42556
116,La Riera,20/19,La Riera 20/19,5,0.06,0.3,6113.33333333333,1834,78,0.042529989094875,LM Magdalenian,LM Magdalenian,NA,74.4,30,1.74476897657877,10.3497309214086,-4.85349,43.42556
